"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"2100697","通常","入庫済","2021/12/29","(有)宮地小型部品商会","ﾌｧﾐﾘｱ","DBF-BVY12","VY12-530487","201309","ﾎﾜｲﾄ系","50000","熊本","400","て","7146","有","有","有","有","有","無","","","","091800H21000697","331256"
"2200001","通常","入庫済","2022/01/05","個人","ﾜｺﾞﾝR","CBA-MH21S","MH21S-378671","200506","ﾎﾜｲﾄﾊﾟｰﾙ系","15000","熊本","580","て","6626","有","有","無","無","無","無","","","","091800H22000001","340101"
"2200037","通常","入庫済","2022/01/24","熊本県県南広域本部","AD","CBE-VY11","VY11-708885","200609","ﾎﾜｲﾄ系","40000","熊本","400","た","8375","無","抹消原本","無","無","有","無","","","","091800H22000037","340135"
"2200023","通常","入庫済","2022/01/17","中山車両整備工場","ｱｸﾃｨ","V-HA3","HA3-2324868","199701","ﾎﾜｲﾄ系","30000","熊本","41","も","6544","無","抹消原本","無","無","無","無","","","","091800H22000023","340121"
"2100683","通常","入庫済","2021/12/24","全損残価評価システム","ﾊｲｾﾞｯﾄ","EBD-S321V","S321V-0152625","201207","ﾎﾜｲﾄ系","22000","熊本","480","せ","7767","有","有","無","無","無","有","","","","091800H21000683","331242"
"2200008","通常","入庫済","2022/01/12","個人","ﾀﾝﾄ","CBA-L350S","L350S-0256317","200701","ﾋﾟﾝｸ系","15000","熊本","580","そ","7570","有","有","無","無","無","無","","","","091800H22000008","340107"
"2100692","通常","入庫済","2021/12/27","日産人吉　営業","ﾐﾗ･ｶｽﾀﾑ","DBA-L275S","L275S-0031145","200705","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","鹿児島","583","す","1965","有","有","無","無","無","有","","","","091800H21000692","331250"
"2200041","通常","入庫済","2022/01/24","株式会社　ベストワン","ﾐﾗ･ﾊﾞﾝ","GBD-L275V","L275V-0001386","200801","ｼﾙﾊﾞｰ系","30000","熊本","480","き","1491","有","有","無","無","無","無","","","","091800H22000041","340139"
"2100685","通常","入庫済","2021/12/24","(株) ゼロワン　コーダSS","ｵｯﾃｨ","DBA-H91W","H91W-0312498","200607","ｼﾙﾊﾞｰ系","30000","熊本","580","け","2090","有","有","無","無","無","有","","","","091800H21000685","331243"
"2200043","破砕ストップ","入庫済","2022/01/25","熊本県県南広域本部","ｼﾞﾑﾆｰ","ABA-JB43W","JB43W-400179","200808","ﾎﾜｲﾄ系","40000","熊本","501","に","5401","無","抹消原本","無","無","有","無","","","","091800H22000043","340141"
"2100688","通常","入庫済","2021/12/25","（有）平山モータース","ｽﾃﾗ","DBA-RN1","RN1-154039","201008","ｼﾙﾊﾞｰ系","30000","熊本","580","ふ","5902","無","抹消原本","無","無","無","無","","","","091800H21000688","331246"
"2200050","通常","入庫済","2022/01/29","個人","ﾊｲｾﾞｯﾄ","LE-S210P","S210P-0163037","200205","ﾎﾜｲﾄ系","15000","熊本","41","み","1926","有","有","無","無","無","無","","","","091800H22000050","340148"
"2200030","通常","入庫済","2022/01/19","車検のコバック八代　千丁店","ｸﾘｯﾊﾟｰ","CBA-U71W","U71W-0321750","200911","ｼﾙﾊﾞｰ系","30000","熊本","580","の","4188","無","抹消原本","無","無","無","無","","","","091800H22000030","340124"
"2200034","通常","入庫済","2022/01/22","全損残価評価システム","ｼｴﾝﾀ","DBA-NCP81G","NCP81-5203683","201402","ﾌﾞﾗｯｸ系","33000","熊本","530","り","137","有","有","有","有","有","有","","","","091800H22000034","340132"
"2200052","通常","入庫済","2022/01/29","全損残価評価システム","ｵｯﾃｨ","DBA-H92W","H92W-0462125","200904","ｼﾙﾊﾞｰ系","22000","熊本","581","も","3534","有","有","無","無","無","有","","","","091800H22000052","340150"
"2200009","通常","入庫済","2022/01/12","個人","ｴﾌﾞﾘｨ","GD-DA52V","DA52V-224663","200107","ﾎﾜｲﾄ系","15000","熊本","480","す","9424","有","有","無","無","無","無","","","","091800H22000009","340108"
"2200069","通常","入庫済","2022/02/09","（有）桑原モータース","MRﾜｺﾞﾝ","DBA-MF22S","MF22S-140336","200608","ﾌﾞﾗｳﾝ系","33000","熊本","580","は","5532","無","抹消原本","無","無","無","無","","","","091800H22000069","340208"
"2200070","通常","入庫済","2022/02/09","（有）桑原モータース","ｷｬﾘｰ","EBD-DA63T","DA63T-440268","200604","ﾎﾜｲﾄ系","40000","熊本","480","う","2993","無","抹消原本","無","無","無","無","","","","091800H22000070","340209"
"2200049","通常","入庫済","2022/01/25","（株）ＪＵＳＴ","ﾊﾟｼﾞｪﾛ･ﾐﾆ","GF-H53A","H53A-0004684","199903","ﾎﾜｲﾄ系","30000","熊本","50","ほ","4913","無","","無","無","無","無","","","","091800H22000049","340142"
"2200032","通常","入庫済","2022/01/21","ハロービックハロー八代","ﾑｰﾌﾞ･ﾗﾃ","CBA-L550S","L550S-0021305","200411","ｺﾞｰﾙﾄﾞ系","30000","熊本","581","と","1848","有","有","無","無","無","無","","","","091800H22000032","340130"
"2200036","通常","入庫済","2022/01/21","（株）ＪＵＳＴ","N-BOX","DBA-JF1","JF1-1405384","201401","ﾎﾜｲﾄﾊﾟｰﾙ系","80000","熊本","583","ゆ","2510","無","抹消原本","無","無","無","無","","","","091800H22000036","340134"
"2200077","通常","入庫済","2022/02/18","ガレージセブン","MAX","ABA-L950S","L950S-0096296","200502","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","熊本","581","え","9962","有","有","無","無","無","無","","","","091800H22000077","340223"
"2200081","通常","入庫済","2022/02/19","個人","ｽｸﾗﾑ","EBD-DG64V","DG64V-291817","200807","ｲｴﾛｰ系","10000","熊本","480","の","3874","有","有","無","無","無","無","","","","091800H22000081","340227"
"2200002","通常","入庫済","2021/12/27","日産人吉　営業","ﾓｺ","CBA-MG21S","MG21S-426657","200503","ｺﾞｰﾙﾄﾞ系","30000","熊本","580","い","1886","有","有","無","無","無","無","","","","091800H22000002","331251"
"2200020","通常","入庫済","2022/01/14","人吉ロードサービス","ﾐﾗ","TA-L250S","L250S-0029663","200307","ﾊﾟｰﾌﾟﾙ系","30000","熊本","582","ろ","124","無","抹消原本","無","無","無","無","","","","091800H22000020","340118"
"2100691","通常","入庫済","2021/12/27","十條石油（株）","ﾜｺﾞﾝR","UA-MC22S","MC22S-508049","200303","ﾎﾜｲﾄ系","30000","熊本","581","の","8633","有","有","無","無","無","無","","","","091800H21000691","331249"
"2200045","通常","入庫済","2022/01/26","全損残価評価システム","ﾐﾗ･ｲｰｽ","5BA-LA350S","LA350S-0264626","202104","ﾌﾞﾗｯｸ系","33000","熊本","582","か","3561","有","有","無","無","無","有","","","","091800H22000045","340144"
"2100690","通常","入庫済","2021/12/25","日産人吉　営業","ﾏｰｸ2","TA-GX110","GX110-0007658","200106","ﾎﾜｲﾄﾊﾟｰﾙ系","50000","熊本","330","み","1156","有","有","有","有","有","有","","","","091800H21000690","331248"
"2100684","通常","入庫済","2021/12/21","車検のコバック八代　千丁店","ﾗｲﾌ","LA-JB1","JB1-6031480","200112","ﾎﾜｲﾄ系","30000","熊本","581","た","5168","無","抹消原本","無","無","無","無","","","","091800H21000684","331236"
"2100686","通常","入庫済","2021/12/24","ハロービックハロー八代","ｱﾙﾌｧｰﾄﾞ","DBA-ANH10W","ANH10-0183684","200707","ﾌﾞﾗｯｸ系","70000","熊本","300","む","3610","有","有","有","有","","無","","","","091800H21000686","331244"
"2200056","通常","入庫済","2022/02/04","個人","ﾑｰﾌﾞ","DBA-L175S","L175S-0118027","200803","ﾎﾜｲﾄﾊﾟｰﾙ系","15000","熊本","585","こ","618","有","有","無","無","無","無","","","","091800H22000056","340204"
"2200022","通常","入庫済","2022/01/17","カーライフ　個人","ｱﾙﾄ･ﾗﾊﾟﾝ","CBA-HE21S","HE21S-609133","200704","ﾚｯﾄﾞ系","30000","熊本","581","て","4526","有","有","無","無","無","無","","","","091800H22000022","340120"
"2100696","破砕ストップ","入庫済","2021/12/28","今田電装","ﾌｪｱﾚﾃﾞｨZ","E-GCZ32","GCZ32-509778","199002","ﾌﾞﾗｯｸ系","70000","熊本","300","ろ","2966","無","抹消原本","無","無","無","無","","","","091800H21000696","331255"
"2200014","通常","入庫済","2022/01/14","全損残価評価システム","ﾀﾌﾄ","6BA-LA900S","LA900S-0001685","202011","ｸﾞﾘｰﾝ系","30000","熊本","582","う","6516","有","有","無","無","無","有","","","","091800H22000014","340114"
"2200015","通常","入庫済","2022/01/14","マツダ八代インター　営業","ﾎﾞﾝｺﾞ","KB-SE28T","SE28T-104183","199408","ﾎﾜｲﾄ系","50000","熊本","46","と","9863","有","有","有","有","有","無","","","","091800H22000015","340112"
"2100687","通常","入庫済","2021/12/25","（有）平山モータース","ﾑｰﾌﾞ･ｶｽﾀﾑ","CBA-L150S","L150S-2005056","200408","ｼﾙﾊﾞｰ系","30000","熊本","53","せ","3559","無","抹消原本","無","無","無","無","","","","091800H21000687","331245"
"2200018","通常","入庫済","2022/01/15","（株）カーライフ","ﾊｲｾﾞｯﾄ","EBD-S201P","S201P-0060028","201102","ﾎﾜｲﾄ系","33000","熊本","480","な","8689","有","有","無","無","無","有","","","","091800H22000018","340117"
"2200012","通常","入庫済","2022/01/13","(名)宮村商店","ｱﾙﾄ","LE-HA23V","HA23V-108464","200101","ｼﾙﾊﾞｰ系","30000","熊本","480","そ","1163","有","有","無","無","無","無","","","","091800H22000012","340111"
"2200013","通常","入庫済","2021/03/04","くまもと共済　八代営業所","ｱｸｱ","DAA-NHP10","NHP10-6028814","201204","ｸﾞﾚｰ系","50000","熊本","501","み","8620","有","有","","","","有","","","","091800H22000013","330324"
"2200082","通常","入庫済","2022/02/19","車買取専門店　チェレステ　人吉店","Kei","CBA-HN22S","HN22S-647572","200502","ﾌﾞﾙｰ系","30000","熊本","580","あ","4774","有","有","無","無","無","有","","","","091800H22000082","340228"
"2200083","通常","入庫済","2022/02/21","個人","ｱﾙﾄ","LA-HA23S","HA23S-715639","200309","ｼﾙﾊﾞｰ系","17000","熊本","581","に","5989","有","有","無","無","無","無","","","","091800H22000083","340229"
"2100698","通常","入庫済","2021/12/29","(有)宮地小型部品商会","ﾌﾟﾛﾎﾞｯｸｽ","CBE-NCP50V","NCP50-0097697","201004","ﾎﾜｲﾄ系","50000","熊本","400","つ","4176","有","有","有","有","有","無","","","","091800H21000698","331257"
"2200094","通常","入庫済","2022/02/24","ハロービックハロー八代","ｾﾚﾅ","DBA-CC25","CC25-022034","200703","ﾊﾟｰﾌﾟﾙ系","50000","熊本","301","つ","2215","有","有","有","有","有","無","","","","091800H22000094","340241"
"2200062","通常","入庫済","2022/02/03","*みなとﾌﾞﾘﾁﾞｽﾄﾝ","ﾜｺﾞﾝR","CBA-MH21S","MH21S-333128","200502","ﾌﾞﾗｯｸ系","30000","熊本","581","ぬ","6384","無","抹消コピー","無","無","無","無","","","","091800H22000062","340203"
"2200096","通常","入庫済","2022/02/25","個人","ﾜｺﾞﾝR","DBA-MH23S","MH23S-703785","201102","ﾌﾞﾗｯｸ系","15000","熊本","580","ま","7653","有","有","無","無","無","無","","","","091800H22000096","340243"
"2200061","通常","入庫済","2022/02/07","日産人吉　営業","ﾃｨｱﾅ","CBA-J31","J31-109697","200410","ﾌﾞﾙｰ系","50000","熊本","330","の","1610","有","有","有","有","有","無","","","","091800H22000061","340207"
"2200005","通常","入庫済","2022/01/11","全損残価評価システム","ﾊﾟﾚｯﾄ","DBA-MK21S","MK21S-423025","201204","ﾌﾞﾗｯｸ系","20000","熊本","581","ふ","815","有","有","無","無","無","有","","","","091800H22000005","340104"
"2200093","通常","入庫済","2022/02/24","（有）平山モータース","ﾑｰﾌﾞ","GF-L900S","L900S-0048931","199905","ｺﾞｰﾙﾄﾞ系","30000","熊本","53","す","676","有","有","無","無","無","無","","","","091800H22000093","340240"
"2200085","通常","入庫済","2022/02/21","ハロービックハロー八代","ｻﾝﾊﾞｰ","LE-TV1","TV1-110807","200503","ｼﾙﾊﾞｰ系","30000","熊本","480","そ","691","有","有","無","無","無","無","","","","091800H22000085","340230"
"2200097","通常","入庫済","2022/02/24","（有）平山モータース","ﾄﾖｴｰｽ","M-YY61","YY61-0009396","198807","ﾎﾜｲﾄ系","60000","熊本","46","さ","7821","有","有","有","有","有","無","","","","091800H22000097","340239"
"2200080","通常","入庫済","2022/02/18","亀崎モータース","ﾊｲｾﾞｯﾄ","EBD-S321V","S321V-0006487","200802","ﾌﾞﾗｯｸ系","30000","熊本","480","き","2592","無","抹消コピー","無","無","無","無","","","","091800H22000080","340226"
"2200075","通常","入庫済","2022/02/18","個人","ﾍﾞﾝﾂ･E","GH-211065C","WDB2110652A670799","200412","ｼﾙﾊﾞｰ系","37000","熊本","335","と","1177","有","有","有","有","有","無","","","","091800H22000075","340222"
"2200010","通常","入庫済","2022/01/13","個人","ｷｬﾘｰ","GD-DA52T","DA52T-111067","199911","ﾎﾜｲﾄ系","15000","熊本","41","ま","2160","有","有","無","無","無","無","","","","091800H22000010","340109"
"2200006","通常","入庫済","2022/01/11","今田電装","ｱｸﾃｨ","V-HA3","HA3-2333929","199701","ﾎﾜｲﾄ系","30000","熊本","480","か","6667","無","抹消原本","無","無","無","無","","","","091800H22000006","340105"
"2200091","通常","入庫済","2022/02/22","吉見自動車","ﾀﾝﾄ･ｴｸﾞｾﾞ","DBA-L455S","L455S-0025650","201007","ﾊﾟｰﾌﾟﾙ系","30000","熊本","580","ふ","1916","有","有","無","無","無","無","","","","091800H22000091","340237"
"2200101","通常","入庫済","2022/02/26","ガレージセブン","ﾜｺﾞﾝR","DBA-MH21S","MH21S-962256","200702","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","熊本","581","ひ","7468","有","有","無","無","無","無","","","","091800H22000101","340247"
"2200011","通常","入庫済","2022/01/13","今田電装","ﾊﾞﾓｽ","GF-HM1","HM1-1009783","199910","ﾎﾜｲﾄ系","30000","熊本","50","み","7467","無","無","無","無","無","無","","","","091800H22000011","340110"
"2100689","破砕ストップ","入庫済","2021/12/25","カーライフ　個人","ﾀｳﾝｴｰｽ","GA-YM55","YM55-0029606","199810","ﾎﾜｲﾄ系","150000","熊本","400","な","1902","有","有","有","有","有","有","","","","091800H21000689","331247"
"2200046","通常","入庫済","2022/01/27","個人","ﾜｺﾞﾝR","DBA-MH23S","MH23S-152694","200901","ﾌﾞﾙｰ系","17000","熊本","580","な","7928","有","有","無","無","無","無","","","","091800H22000046","340146"
"2200016","通常","入庫済","2022/01/14","(株) ゼロワン　コーダSS","MAX","UA-L950S","L950S-0051941","200209","ﾌﾞﾙｰ系","30000","熊本","580","や","7864","有","有","無","無","無","無","","","","091800H22000016","340113"
"2200102","通常","入庫済","2022/02/26","個人","ﾑｰﾌﾞ･ｶｽﾀﾑ","DBA-L175S","L175S-0046246","200703","ﾜｲﾝ系","17000","熊本","580","ひ","1526","有","有","無","無","無","無","","","","091800H22000102","340248"
"2200092","通常","入庫済","2022/02/12","（株）ＪＵＳＴ","ﾃｨｰﾀﾞ","DBA-C11","C11-069758","200511","ﾎﾜｲﾄﾊﾟｰﾙ系","50000","熊本","530","せ","4109","無","抹消原本","無","無","有","無","","","","091800H22000092","340213"
"2200071","通常","入庫済","2022/02/15","（有）カーショップミヤモト","ｱｸﾃｨ","GD-HA7","HA7-1213860","200106","ﾎﾜｲﾄ系","30000","熊本","41","ほ","4066","無","無","無","無","無","無","","","","091800H22000071","340217"
"2200098","通常","入庫済","2022/02/25","個人","ﾑｰﾌﾞ･ｶｽﾀﾑ","DBA-L175S","L175S-0038853","200703","ﾊﾟｰﾌﾟﾙ系","15000","熊本","580","さ","9922","有","有","無","無","無","無","","","","091800H22000098","340244"
"2200099","通常","入庫済","2022/02/25","人吉ロードサービス","ｱﾄﾚｰ","V-S120V","S120V-037018","199712","ｸﾞﾘｰﾝ系","15000","熊本","480","の","3088","無","抹消コピー","無","無","無","無","","","","091800H22000099","340246"
"2200100","通常","入庫済","2022/02/25","個人","ｱﾄﾗｽ","L-BF22","BF22-000672","198202","ﾎﾜｲﾄ系","30000","熊本","400","な","1968","有","有","有","有","有","無","","","","091800H22000100","340245"
"2200095","通常","入庫済","2022/02/24","（株）ＪＵＳＴ","ﾀﾝﾄ","CBA-L350S","L350S-0295977","200705","ｺﾞｰﾙﾄﾞ系","30000","熊本","580","な","8216","無","抹消原本","無","無","無","無","","","","091800H22000095","340242"
"2200055","破砕ストップ","入庫済","2022/02/01","個人","ﾀﾞｲﾅ","KK-BU306","BU306-5000897","200012","ﾎﾜｲﾄ系","150000","熊本","400","ち","238","有","有","有","有","有","無","","","","091800H22000055","340201"
"2200035","通常","入庫済","2022/01/21","（株）ＪＵＳＴ","ﾌﾟﾚﾏｼｰ","DBA-CREW","CREW-303978","200711","ｸﾞﾚｰ系","50000","熊本","301","て","3958","無","抹消原本","無","無","無","無","","","","091800H22000035","340133"
"2200086","破砕ストップ","入庫済","2022/02/21","日産人吉　営業","NV350ｷｬﾗﾊﾞﾝ","LDF-VW2E26","VW2E26-004827","201302","ｼﾙﾊﾞｰ系","180000","熊本","400","て","4723","有","有","有","有","有","有","","","","091800H22000086","340232"
"2200088","通常","入庫済","2022/02/22","佐々木鈑金塗装工場","ﾌｨｯﾄ","DAA-GP1","GP1-1031734","201101","ｸﾞﾘｰﾝ系","40000","熊本","532","つ","126","無","抹消原本","無","無","有","無","","","","091800H22000088","340234"
"2200089","通常","入庫済","2022/02/22","くまもと共済　八代営業所","N-BOX","DBA-JF3","JF3-1112494","201806","ﾌﾞﾙｰ系","70000","熊本","583","や","8358","有","有","無","無","無","有","","","","091800H22000089","340235"
"2200090","通常","入庫済","2022/02/22","プリンス水俣営業","ﾗｲﾌ","DBA-JB5","JB5-4800618","200802","ﾌﾞﾗｳﾝ系","30000","熊本","584","せ","33","有","有","無","無","無","有","","","","091800H22000090","340236"
"2200019","通常","入庫済","2022/01/15","人吉ロードサービス","AZﾜｺﾞﾝ","GF-MD21S","MD21S-635184","200008","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","熊本","581","と","5952","有","有","無","無","無","無","","","","091800H22000019","340116"
"2100682","通常","入庫済","2021/12/24","ネッツトヨタ熊本　人吉店","ﾊﾟﾚｯﾄ","DBA-MK21S","MK21S-369355","201005","ﾊﾟｰﾌﾟﾙ系","30000","熊本","582","は","333","無","コピー","無","無","無","無","","","","091800H21000682","331241"
"2200028","通常","入庫済","2022/01/20","八代市役所循環社会推進課","ﾊｲｾﾞｯﾄ","EBD-S211P","S211P-0268605","201401","ﾎﾜｲﾄ系","0","熊本","480","た","7620","無","無","無","無","無","無","","","","091800H22000028","340127"
"2200087","通常","入庫済","2022/02/22","佐々木鈑金塗装工場","ﾌｨｯﾄ","DAA-GP1","GP1-1031318","201101","ｸﾞﾘｰﾝ系","40000","熊本","532","に","127","無","抹消原本","無","無","有","無","","","","091800H22000087","340233"
"2200042","通常","入庫済","2022/01/25","熊本県県南広域本部","AD","CBE-VY11","VY11-705407","200605","ﾎﾜｲﾄ系","40000","熊本","400","た","6566","無","抹消原本","無","無","有","無","","","","091800H22000042","340140"
"2200039","通常","入庫済","2022/01/24","熊本県県南広域本部","AD","CBE-VY11","VY11-709927","200610","ﾎﾜｲﾄ系","40000","熊本","400","た","8914","無","抹消原本","無","有","有","無","","","","091800H22000039","340137"
"2200073","通常","入庫済","2022/02/15","個人","ﾜｺﾞﾝR","DBA-MH23S","MH23S-380235","201011","ﾊﾟｰﾌﾟﾙ系","17000","熊本","580","ほ","6732","有","有","無","無","無","無","","","","091800H22000073","340219"
"2200031","通常","入庫済","2022/01/20","（有）平山モータース","ﾎﾞﾝｺﾞ","KF-SK22T","SK22T200668","200102","ﾎﾜｲﾄ系","50000","熊本","800","す","4234","有","有","有","有","有","無","","","","091800H22000031","340129"
"2200047","通常","入庫済","2022/01/27","全損残価評価システム","ﾋﾟﾉ","DBA-HC24S","HC24S-533505","200702","ｼﾙﾊﾞｰ系","22000","熊本","580","さ","4991","有","有","無","無","無","有","","","","091800H22000047","340147"
"2200048","通常","入庫済","2022/01/27","（有）嶋田車体","ﾜｺﾞﾝR･ｽﾃｨﾝｸﾞﾚｰ","DBA-MH23S","MH23S-570291","201003","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","熊本","581","や","2664","無","コピー","無","無","無","無","","","","091800H22000048","340145"
"2200017","通常","入庫済","2022/01/15","全損残価評価システム","ｱｸｱ","DAA-NHP10","NHP10-6178464","201306","ﾎﾜｲﾄﾊﾟｰﾙ系","33000","熊本","501","も","6844","有","有","無","無","無","有","","","","091800H22000017","340115"
"2200067","通常","入庫済","2022/02/12","個人","ﾜｺﾞﾝR･ｽﾃｨﾝｸﾞﾚｰ","DBA-MH22S","MH22S-123935","200706","ﾌﾞﾗｯｸ系","15000","熊本","580","せ","3525","有","有","無","無","無","無","","","","091800H22000067","340215"
"2200068","通常","入庫済","2022/02/12","個人","ｴﾌﾞﾘｨ","EBD-DA64V","DA64V-473169","201107","ｼﾙﾊﾞｰ系","15000","熊本","480","す","3573","有","有","無","無","無","無","","","","091800H22000068","340216"
"2200051","通常","入庫済","2022/01/29","個人","ﾑｰﾌﾞ･ｶｽﾀﾑ","DBA-L175S","L175S-0201180","200901","ﾌﾞﾗｳﾝ系","17000","熊本","581","て","9123","有","有","無","無","無","無","","","","091800H22000051","340149"
"2200025","通常","入庫済","2022/01/18","個人","ﾊﾟﾚｯﾄ","DBA-MK21S","MK21S-956059","201101","ﾎﾜｲﾄﾊﾟｰﾙ系","15000","熊本","580","ま","2953","有","有","無","無","無","無","","","","091800H22000025","340123"
"2100694","通常","入庫済","2021/12/28","(有)宮地小型部品商会","ﾜｺﾞﾝR","UA-MC22S","MC22S-420754","200206","ｼﾙﾊﾞｰ系","30000","熊本","53","う","1401","有","有","無","無","無","無","","","","091800H21000694","331253"
"2200053","通常","入庫済","2022/01/31","個人","ﾓｺ","DBA-MG22S","MG22S-359688","201004","ﾎﾜｲﾄﾊﾟｰﾙ系","15000","熊本","580","ひ","1901","有","有","無","有","無","無","","","","091800H22000053","340151"
"2200054","通常","入庫済","2022/02/01","個人","ﾐﾗ","GD-L700V","L700V-0061347","200005","ﾎﾜｲﾄ系","17000","熊本","41","ひ","5555","有","有","無","無","無","無","","","","091800H22000054","340202"
"2200072","通常","入庫済","2022/02/15","（有）カーショップミヤモト","ﾄｩｱﾚｸﾞ","GH-7LAZZS","WVGZZZ7LZ4D055397","200405","ｸﾞﾚｰ系","50000","熊本","330","す","2431","有","有","有","有","有","無","","","","091800H22000072","340218"
"2200044","通常","入庫済","2022/01/26","全損残価評価システム","ﾀﾝﾄ","DBA-LA600S","LA600S-0087436","201403","ﾌﾞﾗｯｸ系","33000","熊本","586","る","1019","無","有","無","無","無","有","","","","091800H22000044","340143"
"2200060","通常","入庫済","2022/01/31","吉見自動車","ﾑｰﾌﾞ･ｶｽﾀﾑ","CBA-L150S","L150S-2004352","200406","ｺﾞｰﾙﾄﾞ系","30000","熊本","581","ぬ","6738","有","有","無","無","無","無","","","","091800H22000060","340153"
"2200059","通常","入庫済","2022/01/31","(株) ゼロワン　コーダSS","ﾐﾗ","TA-L250S","L250S-1002100","200301","ｼﾙﾊﾞｰ系","30000","熊本","580","た","4902","有","有","無","無","無","無","","","","091800H22000059","340152"
"2200027","通常","入庫済","2022/01/20","フェニックスガレージ","ﾐﾗ･ｼﾞｰﾉ","DBA-L650S","L650S-0004493","200412","ｼﾙﾊﾞｰ系","30000","熊本","590","に","2525","有","有","無","無","無","無","","","","091800H22000027","340126"
"2200007","通常","入庫済","2022/01/11","ゼロワン　個人","ﾌﾟﾚｵ","TA-RA1","RA1-234947","200107","ﾎﾜｲﾄ系","30000","熊本","581","ち","6798","有","有","無","無","無","無","","","","091800H22000007","340106"
"2200079","通常","入庫済","2022/02/18","ゼロワン　個人","WiLL･ｻｲﾌｧ","UA-NCP70","NCP70-0014266","200303","ｲｴﾛｰ系","40000","熊本","501","な","7568","無","抹消原本","無","無","無","無","","","","091800H22000079","340225"
"2200074","通常","入庫済","2022/02/17","日産人吉　営業","ﾊｲｾﾞｯﾄ","M-S81P","S81P-056899","198708","ﾌﾞﾙｰ系","30000","熊本","40","み","1916","有","有","無","無","無","有","","","","091800H22000074","340220"
"2200029","通常","入庫済","2022/01/20","八代市役所循環社会推進課","ﾜｺﾞﾝR","DBA-MH21S","MH21S-951516","200612","ｼﾙﾊﾞｰ系","0","熊本","580","そ","362","無","無","無","無","無","無","","","","091800H22000029","340128"
"2200026","通常","入庫済","2022/01/19","全損残価評価システム","ﾑｰﾌﾞ･ｶｽﾀﾑ","DBA-LA100S","LA100S-0009228","201101","ｸﾞﾚｰ系","22000","熊本","582","く","2265","有","有","無","無","無","有","","","","091800H22000026","340125"
"2100695","通常","入庫済","2021/12/29","個人","ﾐﾗ","GF-L700S","L700S-0184570","200102","ｼﾙﾊﾞｰ系","15000","熊本","580","え","2660","無","抹消原本","無","無","無","無","","","","091800H21000695","331254"
"2200021","通常","入庫済","2022/01/17","（株）カーライフ","ﾜｺﾞﾝR","CBA-MH21S","MH21S-768119","200703","ﾌﾞﾗｯｸ系","30000","熊本","582","ろ","754","無","抹消原本","無","無","無","無","","","","091800H22000021","340119"
"2200038","通常","入庫済","2022/01/24","熊本県県南広域本部","ﾗﾌｪｽﾀ","DBA-B30","B30-101993","200607","ｼﾙﾊﾞｰ系","50000","熊本","501","た","5444","無","抹消原本","無","無","有","無","","","","091800H22000038","340136"
"2200004","通常","入庫済","2022/01/08","日産人吉　営業","AZﾜｺﾞﾝ","DBA-MJ21S","MJ21S-492160","200701","ｼﾙﾊﾞｰ系","30000","熊本","580","さ","1765","有","有","無","無","無","無","","","","091800H22000004","340103"
"2200040","通常","入庫済","2022/01/24","個人","ｱﾄﾗｽ","U-SM4F23","M4F23-010632","199409","ﾎﾜｲﾄ系","60000","熊本","46","な","517","有","有","有","有","有","無","","","","091800H22000040","340138"
"2100693","通常","入庫済","2021/12/27","（有）カーショップミヤモト","ﾊｲｾﾞｯﾄ","EBD-S211P","S211P-0192238","201207","ﾎﾜｲﾄ系","30000","熊本","480","せ","7087","有","有","無","無","無","無","","","","091800H21000693","331252"
"2200024","通常","入庫済","2022/01/17","ハロービックハロー八代","ﾀﾝﾄ","CBA-L350S","L350S-0220932","200607","ﾎﾜｲﾄﾊﾟｰﾙ系","30000","熊本","581","さ","8587","有","有","無","無","無","無","","","","091800H22000024","340122"
"2200058","通常","入庫済","2022/02/07","個人","ｱｸﾃｨ","V-HH3","HH3-2102653","199405","ｼﾙﾊﾞｰ系","17000","熊本","41","み","5217","有","有","無","無","無","無","","","","091800H22000058","340206"
"2200003","通常","入庫済","2022/01/08","日産人吉　営業","ﾜｺﾞﾝR･ｽﾃｨﾝｸﾞﾚｰ","DBA-MH23S","MH23S-500770","200902","ｸﾞﾚｰ系","30000","熊本","581","の","5506","有","有","無","無","無","無","","","","091800H22000003","340102"
"2200076","通常","入庫済","2022/02/17","(株) ゼロワン　コーダSS","ｱﾙﾄ","CBA-HA24S","HA24S-217641","200607","ﾌﾞﾙｰ系","30000","熊本","581","ゆ","1825","無","抹消原本","無","無","無","無","","","","091800H22000076","340221"
"2200057","通常","入庫済","2022/02/05","車検のコバック八代　千丁店","ﾗｲﾌ","GF-JB1","JB1-3022555","199905","ｺﾞｰﾙﾄﾞ系","30000","熊本","580","ゆ","2293","無","抹消原本","無","無","無","無","","","","091800H22000057","340205"
