"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"1900021","通常","入庫済","2019/01/17","ガレージセブン","ﾗｲﾌ","CBA-JB5","JB5-4398573","0","ｼﾛ","13000","熊本","580","き","6239","有","有","無","無","無","無","","","","091800H19000021","310121"
"1900039","通常","入庫済","2019/01/25","個人","ﾑｰﾌﾞ","E-L600S","L600S-028339","0","ｺﾝ","5000","熊本","581","う","2074","有","有","無","無","無","無","","","","091800H19000040","310144"
"1900107","通常","入庫済","2019/02/21","（有）桑原モータース","ﾊｲｾﾞｯﾄ","V-S100V","S100V-088823","0","ｺﾝ","13000","熊本","41","ま","4959","無","抹消原本","無","無","無","無","","","","091800H19000107","310241"
"1800092","通常","入庫済","2018/03/12","フェニックスガレージ","ｳﾞｨｯﾂ","UA-NCP10","NCP10-0183234","200210","ｼﾙﾊﾞｰ","23000","熊本","500","ひ","2700","有","有","有","有","有","無","","","","091800H18000092","300321"
"1800169","通常","入庫済","2018/04/28","みゆきオート","ﾑｰﾌﾞ･ｶｽﾀﾑ","UA-L150S","L150S-1057258","200402","ｼﾙﾊﾞｰ","14000","熊本","53","こ","9232","有","有","無","無","無","無","","","","091800H18000169","300439"
"1800185","通常","入庫済","2018/05/07","（株）ＪＵＳＴ","ﾀﾝﾄ","ABA-L350S","L350S-0236484","200609","ｸﾛ","14000","熊本","581","く","2851","無","コピー","無","無","無","無","","","","091800H18000185","300504"
"1900023","通常","入庫済","2019/01/19","フェニックスガレージ","ｱﾙﾄ･ﾗﾊﾟﾝ","UA-HE21S","HE21S-337185","200209","ｳｽﾐﾄﾞﾘ","15000","熊本","580","ひ","3665","有","有","無","有","無","無","","","","091800H19000023","310122"
"1800200","通常","入庫済","2018/05/16","（有）カーショップミヤモト","ｳﾞｫｸｼｰ","TA-AZR60G","AZR60-0169768","200302","ｸﾛ","30000","熊本","501","ま","9011","有","有","有","有","無","無","","","","091800H18000200","300525"
"1800180","通常","入庫済","2018/05/09","ＪＡあしきた　車両センター","ｷｭｰﾌﾞ","GF-Z10","Z10-169859","199909","ｼﾛ","23000","熊本","500","す","7434","無","抹消原本","無","無","無","無","","","","091800H18000180","300515"
"1800109","通常","入庫済","2018/03/31","個人","ｱｲ","DBA-HA1W","HA1W-0801889","200809","ｼﾙﾊﾞｰ","11000","熊本","581","の","5409","無","有","無","無","無","無","","","","091800H18000109","300387"
"1800110","通常","入庫済","2018/03/31","肥後新ボデー","ｻﾝﾊﾞｰ","V-KV3","KV3-049855","0","ｼﾛ","14000","熊本","41","え","5260","無","無","無","無","無","無","","","","091800H18000110","300386"
"1800113","通常","入庫済","2018/04/02","宮本鈑金塗装工場","ﾀﾝﾄ","CBA-L350S","L350S-0126577","200507","ｱｶﾑﾗｻｷ","14000","熊本","580","う","5381","無","無","無","無","無","無","","","","091800H18000113","300402"
"1800612","通常","入庫済","2018/12/15","個人","ｺﾙﾄ","DBA-Z21A","Z21A-0214949","200509","ｱｶ","10000","熊本","501","ち","5218","有","有","有","有","有","無","","","","091800H18000613","301232"
"1800120","通常","入庫済","2018/04/03","車検のコバック八代　千丁店","ﾜｺﾞﾝR","GF-MC11S","MC11S-623392","199904","ｼﾙﾊﾞｰ","14000","熊本","50","ほ","9122","無","抹消原本","無","無","無","無","","","","091800H18000120","300406"
"1900232","通常","入庫済","2019/03/29","車検のコバック八代　千丁店","ﾑｰﾌﾞ","GH-L900S","L900S-0115280","200002","ｷﾞﾝ","13000","熊本","580","ね","536","無","抹消原本","無","無","無","無","","","","091800H19000232","310398"
"1900082","通常","入庫済","2019/02/14","全損残価評価システム","ekﾜｺﾞﾝ","DBA-H82W","H82W-1129752","0","ﾋﾟﾝｸ","10000","熊本","580","ひ","9314","有","有","無","無","無","有","","","","091800H19000082","310222"
"1800355","通常","入庫済","2018/08/09","日産人吉　営業","ﾏｰﾁ","UA-AK12","AK12-202155","0","ｼﾛ","0","熊本","502","ち","320","有","有","有","有","有","無","","","","091800H18000355","300824"
"1800159","通常","入庫済","2018/03/19","（株）ゼロワン　ムギシマSS","ｽﾃｯﾌﾟﾜｺﾞﾝ","E-RF1","RF1-1283867","199809","ｼﾛ","30000","熊本","500","な","1551","有","有","有","有","有","無","","","","091800H18000159","300342"
"1800344","通常","入庫済","2018/08/06","（株）ＪＵＳＴ","MRﾜｺﾞﾝ","UA-MF21S","MF21S-351897","0","ｷｲﾛ","14000","熊本","53","く","5557","無","抹消原本","無","無","無","無","","","","091800H18000344","300814"
"1800181","通常","入庫済","2018/05/09","（株）カーライフ","ﾏｰﾁ","UA-AK12","AK12-116122","200303","ｼﾙﾊﾞｰ","23000","熊本","599","た","2719","無","抹消原本","無","無","無","無","","","","091800H18000181","300513"
"1800209","通常","入庫済","2018/05/24","日産人吉　営業","ﾌﾟﾚｻｰｼﾞｭ","UA-TU31","TU31-006085","200308","ｼﾛ","33000","熊本","330","ち","8969","有","有","有","有","有","有","","","","091800H18000209","300533"
"1800233","通常","入庫済","2018/06/01","（有）嶋田車体","ﾜｺﾞﾝR","GF-MC21S","MC21S-802309","0","ｼﾛ","14000","熊本","581","え","4564","有","無","無","無","無","無","","","","091800H18000233","300601"
"1900001","通常","入庫済","2019/01/05","個人","ｱｺｰﾄﾞ･ﾜｺﾞﾝ","LA-CM2","CM2-1003717","200303","ﾊﾟｰﾙ","25000","福岡","302","つ","3806","有","有","有","有","有","無","","","","091800H19000001","310101"
"1800193","通常","入庫済","2018/05/11","（有）桑原モータース","ｸﾞﾛﾘｱ","GH-HY34","HY34513388","0","ｼﾙﾊﾞｰ","35000","熊本","330","た","4567","無","抹消原本","無","無","有","無","","","","091800H18000193","300517"
